"areacd","category","value"
"E07000094","Aged 16 to 64",72679
"E07000094","Aged 65+",20627
"E07000105","Aged 0 to 15",24318
"E07000105","Aged 16 to 64",72421
"E07000105","Aged 65+",18955
"E07000106","Aged 0 to 15",24937
"E07000106","Aged 16 to 64",93927
"E07000106","Aged 65+",27532
"E07000107","Aged 0 to 15",19412
"E07000107","Aged 16 to 64",62300
"E07000107","Aged 65+",13554
"E07000108","Aged 0 to 15",20200
"E07000108","Aged 16 to 64",68324
"E07000108","Aged 65+",21537
"E07000109","Aged 0 to 15",20399
"E07000109","Aged 16 to 64",63903
"E07000109","Aged 65+",15886
"E07000110","Aged 0 to 15",28937
"E07000110","Aged 16 to 64",97449
"E07000110","Aged 65+",25208
"E07000111","Aged 0 to 15",22433
"E07000111","Aged 16 to 64",70530
"E07000111","Aged 65+",20791
"E07000112","Aged 0 to 15",19096
"E07000112","Aged 16 to 64",65073
"E07000112","Aged 65+",21547
"E07000113","Aged 0 to 15",26950
"E07000113","Aged 16 to 64",84647
"E07000113","Aged 65+",21433
"E07000114","Aged 0 to 15",25275
"E07000114","Aged 16 to 64",79287
"E07000114","Aged 65+",27775
"E07000115","Aged 0 to 15",24763
"E07000115","Aged 16 to 64",74104
"E07000115","Aged 65+",19592
"E07000116","Aged 0 to 15",23107
"E07000116","Aged 16 to 64",71308
"E07000116","Aged 65+",18359
"E07000177","Aged 0 to 15",27902
"E07000177","Aged 16 to 64",91584
"E07000177","Aged 65+",20815
"E07000178","Aged 0 to 15",24152
"E07000178","Aged 16 to 64",104883
"E07000178","Aged 65+",16443
"E07000179","Aged 0 to 15",25895
"E07000179","Aged 16 to 64",84396
"E07000179","Aged 65+",23175
"E07000180","Aged 0 to 15",22927
"E07000180","Aged 16 to 64",76280
"E07000180","Aged 65+",20819
"E07000181","Aged 0 to 15",19379
"E07000181","Aged 16 to 64",66136
"E07000181","Aged 65+",18309
"E07000207","Aged 0 to 15",27342
"E07000207","Aged 16 to 64",81770
"E07000207","Aged 65+",20879
"E07000208","Aged 0 to 15",14270
"E07000208","Aged 16 to 64",46738
"E07000208","Aged 65+",12098
"E07000209","Aged 0 to 15",23734
"E07000209","Aged 16 to 64",89101
"E07000209","Aged 65+",20749
"E07000210","Aged 0 to 15",15796
"E07000210","Aged 16 to 64",51887
"E07000210","Aged 65+",17049
"E07000211","Aged 0 to 15",26471
"E07000211","Aged 16 to 64",86630
"E07000211","Aged 65+",21833
